species,n_detections
Rose-ringed Parakeet,12718
Eurasian Jackdaw,10811
Eurasian Wren,9435
Eurasian Blue Tit,4529
Ring-necked Pheasant,4271
European Robin,2685
Eurasian Green Woodpecker,1685
Tawny Owl,1505
Eurasian Wryneck,1426
Red-billed Chough,1239
Dunnock,1045
Great Bittern,844
Long-tailed Tit,615
Mistle Thrush,580
Eurasian Treecreeper,567
Common Buzzard,563
Carrion Crow,553
Little Owl,509
Eurasian Magpie,486
Great Tit,478
Eurasian Blackbird,465
Great Spotted Woodpecker,465
Eurasian Jay,428
Wood Lark,424
Coal Tit,412
Rook,394
Eurasian Eagle-Owl,335
Eurasian Blackcap,323
Common Firecrest,269
Eurasian Nuthatch,218
Hooded Crow,212
Common Sandpiper,195
Boreal Owl,191
Red Kite,168
Black Woodpecker,155
Long-eared Owl,155
Gray Wagtail,144
Western Capercaillie,144
Eurasian Bullfinch,132
Gray-headed Woodpecker,124
Common Grasshopper-Warbler,121
Common Chiffchaff,118
Eurasian Three-toed Woodpecker,99
European Goldfinch,91
Graylag Goose,91
Atlantic Puffin,87
Eurasian Curlew,86
Goldcrest,82
Hawfinch,81
Egyptian Goose,72
Manx Shearwater,72
Common Crane,68
Eurasian Scops-Owl,68
European Greenfinch,68
Marsh Tit,64
Common Wood-Pigeon,62
European Serin,62
Canada Goose,61
Ural Owl,61
Common Raven,57
Eurasian Hobby,55
Cirl Bunting,54
Northern Lapwing,48
Common Kingfisher,46
Short-toed Treecreeper,44
Redwing,43
European Honey-buzzard,40
Barn Swallow,38
Eurasian Golden Oriole,38
Northern Goshawk,38
Black-legged Kittiwake,37
Gray Partridge,37
Lesser Spotted Woodpecker,34
Whooper Swan,34
Eurasian Siskin,33
Iberian Chiffchaff,32
Bearded Reedling,27
Crested Tit,27
Willow Tit,26
Eurasian Kestrel,25
Willow Warbler,25
Black Redstart,22
Eurasian Collared-Dove,22
Rock Pigeon,22
Spotted Flycatcher,22
Yellow-browed Warbler,22
Ring Ouzel,21
Wood Warbler,21
Common Murre,20
Eurasian Moorhen,20
Herring Gull,20
Song Thrush,20
Eurasian Woodcock,19
Black Kite,18
Bohemian Waxwing,18
Gray Heron,18
Common Snipe,17
Green Sandpiper,17
Common Greenshank,16
European Storm-Petrel,16
Ortolan Bunting,16
Rock Bunting,16
Collared Flycatcher,15
Siberian Accentor,15
European Golden-Plover,14
European Turtle-Dove,14
Lesser Whitethroat,14
Mandarin Duck,14
Red-throated Loon,14
Stock Dove,14
European Stonechat,13
Black-tailed Godwit,12
Eurasian Pygmy-Owl,12
Little Bittern,12
Middle Spotted Woodpecker,12
Eurasian Penduline-Tit,11
Little Ringed Plover,11
Red-legged Partridge,11
Spectacled Warbler,11
Barnacle Goose,10
Fieldfare,10
Peregrine Falcon,10
Water Rail,10
Razorbill,9
Spotted Crake,9
Corn Bunting,8
Crested Lark,8
Eurasian Coot,8
Eurasian Hoopoe,8
Eurasian Oystercatcher,8
Eurasian Reed Warbler,8
Greater Whitethroat,8
Red-breasted Flycatcher,8
Rock Partridge,8
Whinchat,8
Yellow-headed Parrot,8
Barn Owl,7
Corsican Finch,7
European Pied Flycatcher,7
Green-winged Teal,7
Western Yellow Wagtail,7
Yellow-billed Chough,7
Aquatic Warbler,6
Hazel Grouse,6
Iberian Green Woodpecker,6
Lesser Black-backed Gull,6
Sedge Warbler,6
Common Chaffinch,5
Common Waxbill,5
Common Cuckoo,4
Common House-Martin,4
Corsican Nuthatch,4
Eurasian Linnet,4
Eurasian Nutcracker,4
Northern Gannet,4
Pin-tailed Whydah,4
Pink-footed Goose,4
Black Grouse,3
Black-bellied Plover,3
Common Nightingale,3
Common Quail,3
Eurasian Wigeon,3
Great Black-backed Gull,3
Greater White-fronted Goose,3
Marmora's Warbler,3
Parrot Crossbill,3
Pied Avocet,3
White Wagtail,3
Common Rosefinch,2
Common Swift,2
Dartford Warbler,2
Eurasian Crag-Martin,2
Eurasian Dotterel,2
Eurasian Nightjar,2
European Roller,2
Great Crested Grebe,2
Great Reed Warbler,2
Great Skua,2
Horned Lark,2
Lady Amherst's Pheasant,2
Lesser Kestrel,2
Little Crake,2
Little Grebe,2
Mew Gull,2
Northern Fulmar,2
Osprey,2
Red Crossbill,2
Rough-legged Hawk,2
Ruddy Shelduck,2
Sardinian Warbler,2
Small Buttonquail,2
Tawny Pipit,2
Western Bonelli's Warbler,2
White-winged Crossbill,2
White-winged Snowfinch,2
White-winged Tern,2
Wood Sandpiper,2
Yellowhammer,2
Black Tern,1
Black-crowned Night-Heron,1
Bluethroat,1
Cetti's Warbler,1
Common Pochard,1
Common Redshank,1
Common Ringed Plover,1
Common Scoter,1
Common Tern,1
Eurasian Thick-knee,1
European Bee-eater,1
European Starling,1
Garden Warbler,1
Golden Eagle,1
Greater Short-toed Lark,1
Mallard,1
Mediterranean Flycatcher,1
Mediterranean Gull,1
Pin-tailed Sandgrouse,1
Red-flanked Bluetail,1
River Warbler,1
Rock Sparrow,1
Ruff,1
Savi's Warbler,1
Subalpine Warbler,1
Twite,1
Water Pipit,1
Western Orphean Warbler,1
White Stork,1
White-tailed Eagle,1
Yellow-legged Gull,1
